Date,From,To,Distance (mi),Duration (hrs)
2024-03-16 21:43,"Kihei, United States","Makawao, United States",11.91,0.67
2024-03-17 18:14,"Makawao, United States","Kihei, United States",10.55,0.52
2024-03-18 23:11,"Kihei, United States","Wailuku, United States",12.87,0.49
2024-03-19 00:37,"Kahului, United States","Kihei, United States",13.01,0.41
2024-03-20 21:28,"Kihei, United States","Haliimaile, United States",13.37,0.72
2024-03-21 00:06,"Kahului, United States","Wailea, United States",12.62,0.81
2024-03-24 20:25,"None, United States","Honolulu, United States",100.64,0.62
2024-03-25 07:54,"Honolulu, United States","Narita-shi, Japan",3812.55,8.97
2024-03-25 11:19,"Narita-shi, Japan","Uenohara, Japan",75.0,2.39
2024-03-25 12:15,"Uenohara, Japan","Fujikawaguchiko, Japan",20.52,0.94
2024-03-27 02:58,"Fujikawaguchiko, Japan","Fujinomiya, Japan",12.68,0.84
2024-03-27 08:07,"Fujinomiya, Japan","Fujikawaguchiko, Japan",10.68,0.97
2024-03-28 04:23,"Fujikawaguchiko, Japan","Fujinomiya, Japan",10.73,0.66
2024-03-28 12:37,"Fujinomiya, Japan","Fujikawaguchiko, Japan",10.73,0.68
2024-03-29 04:13,"Fujikawaguchiko, Japan","Minato, Japan",57.2,2.41
2024-03-30 08:51,"Minato, Japan","Narita, Japan",37.84,1.46
2024-03-30 18:02,"Narita-shi, Japan","Honolulu, United States",3812.06,7.12
2024-03-30 20:33,"Honolulu, United States","None, United States",100.58,0.62
2024-03-30 21:24,"None, United States","Kihei, United States",13.63,0.86
2024-03-31 00:11,"Wailea, United States","Kahului, United States",12.57,0.41
2024-03-31 01:16,"Kahului, United States","Kihei, United States",12.59,0.34
2024-04-03 20:56,"Kihei, United States","None, United States",14.08,0.82
2024-04-06 05:31,"Kihei, United States","Makawao, United States",12.9,0.75
2024-04-06 22:34,"Kula, United States","Kihei, United States",10.01,0.72
2024-04-08 22:35,"Kahului, United States","Kihei, United States",12.52,0.42
2024-04-11 01:56,"Kihei, United States","Paia, United States",14.99,0.97
2024-04-11 05:29,"Kahului, United States","Wailea, United States",12.62,0.69
2024-04-11 22:37,"Kihei, United States","Kahului, United States",12.83,0.39
2024-04-11 23:37,"Kahului, United States","Kihei, United States",13.6,0.61
2024-04-13 02:38,"Kihei, United States","Paia, United States",18.84,0.82
2024-04-14 20:58,"Kula, United States","Makawao, United States",10.24,0.93
2024-04-15 06:15,"Makawao, United States","Kihei, United States",12.87,0.63
