Date,From,To,Distance (mi),Duration (hrs)
2024-05-16 08:00,"Lucca, Italy","Campi Bisenzio, Italy",32.89,0.62
2024-05-16 09:02,"Campi Bisenzio, Italy","Firenzuola, Italy",22.84,1.04
2024-05-16 10:14,"Firenzuola, Italy","Imola, Italy",24.05,1.2
2024-05-20 07:53,"Imola, Italy","Bertinoro, Italy",25.16,0.89
2024-05-20 10:48,"Bertinoro, Italy","City of San Marino, San Marino",23.56,2.91
2024-05-20 12:11,"Gualdicciolo, San Marino","Badia Tedalda, Italy",20.13,1.03
2024-05-20 14:07,"Badia Tedalda, Italy","Pieve al Toppo, Italy",27.96,1.26
2024-05-20 15:21,"Pieve al Toppo, Italy","Castelnuovo Berardenga, Italy",21.75,1.23
2024-05-21 08:37,"Castelnuovo Berardenga, Italy","San Quirico d'Orcia, Italy",25.83,1.05
2024-05-21 16:03,"Montalcino, Italy","Castelnuovo Berardenga, Italy",24.54,1.1
2024-05-23 09:37,"Castelnuovo Berardenga, Italy","Viareggio, Italy",65.89,1.99
2024-05-23 12:06,"Viareggio, Italy","Brugnato, Italy",34.24,0.65
2024-05-23 13:20,"Brugnato, Italy","Genoa, Italy",42.25,1.22
2024-05-24 12:46,"Genoa, Italy","None, Italy",20.77,2.71
2024-05-26 09:01,"Rapallo, Italy","Calvi, France",123.83,13.0
2024-05-27 09:20,"Calvi, France","Osani, France",17.96,2.23
2024-05-27 22:50,"None, France","Bonifacio / Bunifaziu, France",75.48,0.0
2024-05-29 12:26,"Bonifacio, France","La Maddalena, Italy",14.98,2.51
2024-06-02 11:17,"Olbia, Italy","Fiumicino, Italy",154.79,4.26
2024-06-03 08:24,"Fiumicino, Italy","Poinson-lès-Grancey, France",541.92,0.28
2024-06-03 10:24,"Poinson-lès-Grancey, France","Le Mesnil-Amelot, France",141.56,2.02
2024-06-04 01:29,"Mitry-Mory, France","Mercer Island, United States",4993.58,12.03
2024-06-04 01:29,"Mercer Island, United States","Mitry-Mory, France",4993.58,0.0
2024-06-04 01:47,"Mitry-Mory, France","Mercer Island, United States",4993.53,0.3
2024-06-12 23:44,"SeaTac, United States","Kahului, United States",2640.09,6.14
2024-06-12 23:58,"Kahului, United States","Kihei, United States",11.84,0.22
2024-06-16 22:09,"Kihei, United States","Haliimaile, United States",10.19,0.67
