Location,Fractional Days
"Mercer Island, United States",13.8
"Kihei, United States",3.1
"Sun Valley, United States",2.7
"Alamo, United States",2.5
"Seattle, United States",1.8
"Medina, United States",0.8
"Roche Harbor, United States",0.7
"Makawao, United States",0.7
"Wailea, United States",0.6
"Bellevue, United States",0.5
"None, United States",0.5
"Paia, United States",0.4
"Ketchum, United States",0.4
"Bainbridge Island, United States",0.3
"Seatac, United States",0.3
"St. Helena, United States",0.2
"Kahului, United States",0.2
"Hailey, United States",0.1
"Makena, United States",0.1
"El Dorado Hills, United States",0.1
"SeaTac, United States",0.1
"Zinfandel, United States",0.1
"Fairfield, United States",0.1
"Napa, United States",0.0
"Renton, United States",0.0
"Maalaea, United States",0.0
"Danville, United States",0.0
"Dublin, United States",0.0
"Burien, United States",0.0
"Sanitarium, United States",0.0
"Livermore, United States",0.0
