Location,Fractional Days
"Mercer Island, United States",14.1
"Kihei, United States",6.5
"Ketchum, United States",1.8
"Newport Beach, United States",1.5
"Wailea, United States",1.1
"None, United States",1.1
"Menlo Park, United States",0.9
"Woodinville, United States",0.7
"Seattle, United States",0.5
"Kahului, United States",0.5
"Bellevue, United States",0.4
"None, United States of America",0.3
"Sun Valley, United States",0.2
"Santa Ana, United States",0.2
"Olympia, United States",0.2
"SeaTac, United States",0.2
"Seatac, United States",0.2
"Makena, United States",0.1
"Millbrae, United States",0.1
"Kirkland, United States",0.1
"Fountain Valley, United States",0.1
"Palo Alto, United States",0.1
"Lakewood, United States",0.0
"Hailey, United States",0.0
"Issaquah, United States",0.0
