Date,From,To,Distance (mi),Duration (hrs)
2024-11-01 22:55,"Kihei, United States","Kahului, United States",13.72,0.68
2024-11-02 07:12,"None, United States","SeaTac, United States",2640.28,6.06
2024-11-02 07:45,"SeaTac, United States","Mercer Island, United States",10.6,0.54
2024-11-05 18:05,"Mercer Island, United States","None, United States",61.7,0.83
2024-11-05 19:50,"None, United States","Ketchum, United States",417.45,1.76
2024-11-07 20:13,"Ketchum, United States","Hailey, United States",12.41,0.48
2024-11-08 11:01,"None, United States","Mercer Island, United States",473.02,14.24
2024-11-08 21:25,"Seatac, United States","Palo Alto, United States",691.06,3.81
2024-11-09 20:40,"Palo Alto, United States","Millbrae, United States",15.87,0.29
2024-11-10 01:51,"None, United States","Newport Beach, United States",374.36,2.4
2024-11-11 20:25,"Santa Ana, United States","Mercer Island, United States",988.16,4.48
2024-11-12 02:09,"Mercer Island, United States","Woodinville, United States",10.89,0.58
2024-11-13 15:34,"Mercer Island, United States","SeaTac, United States",10.75,0.56
2024-11-13 17:15,"SeaTac, United States","None, United States of America",2654.99,1.7
2024-11-13 23:19,"None, United States of America","None, United States",14.74,6.05
2024-11-19 01:04,"Kahului, United States","Kihei, United States",12.65,1.02
2024-11-21 07:02,"Kahului, United States","SeaTac, United States",2640.09,5.73
2024-11-21 07:45,"SeaTac, United States","Mercer Island, United States",10.86,0.72
2024-11-21 14:15,"Mercer Island, United States","Olympia, United States",50.08,1.5
2024-11-21 19:59,"Olympia, United States","Lakewood, United States",19.58,1.44
2024-11-21 21:10,"Lakewood, United States","Mercer Island, United States",35.23,1.18
