Location,Fractional Days
"Mercer Island, United States",11.3
"Bend, United States",5.5
"Yakima, United States",2.5
"Roche Harbor, United States",2.1
"Vancouver, Canada",1.8
"Salt Spring Island Electoral Area, Canada",1.2
"None, Canada",1.1
"Seattle, United States",1.0
"Bellevue, United States",0.9
"Victoria, Canada",0.9
"Sidney, Canada",0.8
"Hood River, United States",0.8
"Medina, United States",0.3
"Union Gap, United States",0.2
"Pomona, United States",0.2
"None, United States",0.2
"Juan de Fuca Electoral Area, Canada",0.1
"Toppenish, United States",0.1
"Sunriver, United States",0.1
"Pronghorn, United States",0.0
"Cle Elum, United States",0.0
"Renton, United States",0.0
"Terrebonne, United States",0.0
"Madras, United States",0.0
"The Dalles, United States",0.0
"Redmond, United States",0.0
"Southern Gulf Islands Electoral Area, Canada",0.0
"Three Rivers, United States",0.0
