Date,From,To,Distance (mi),Duration (hrs)
2025-07-15 09:16,"Diamante, Italy","Rome, Italy",230.78,6.69
2025-07-16 22:49,"Fiumicino, Italy","SeaTac, United States",5673.38,16.75
2025-07-21 16:01,"Seattle, United States","Hailey, United States",471.71,0.74
2025-07-23 21:12,"Hailey, United States","Mercer Island, United States",477.44,2.69
2025-08-07 17:36,"Seattle, United States","Bend, United States",244.15,0.75
2025-08-08 18:39,"Bend, United States","Sisters, United States",12.11,0.1
2025-08-09 00:03,"Sisters, United States","Bend, United States",19.74,0.0
2025-08-09 00:03,"Bend, United States","Sisters, United States",19.74,0.0
2025-08-09 00:46,"Sisters, United States","Bend, United States",17.58,0.72
2025-08-09 14:55,"Bend, United States","Hines, United States",108.95,0.28
2025-08-09 17:46,"Hines, United States","Ontario, United States",105.82,0.81
2025-08-09 20:24,"Ontario, United States","None, United States",74.96,0.4
2025-08-09 22:24,"Mountain Home, United States","Hailey, United States",76.16,0.75
2025-08-11 20:44,"Ketchum, United States","Bellevue, United States",15.33,1.94
2025-08-11 21:39,"Bellevue, United States","Ketchum, United States",14.74,0.24
2025-08-13 16:52,"Hailey, United States","Seattle, United States",476.45,1.43
