Location,Fractional Days
"Mercer Island, United States",17.0
"Ketchum, United States",4.9
"Bend, United States",1.6
"Seattle, United States",1.5
"Fiumicino, Italy",1.5
"Hailey, United States",0.6
"Bellevue, United States",0.5
"Sun Valley, United States",0.4
"Medina, United States",0.4
"Diamante, Italy",0.3
"Sisters, United States",0.3
"Newcastle, United States",0.1
"Hines, United States",0.1
"Ontario, United States",0.1
"Issaquah, United States",0.1
"None, United States",0.1
"Rome, Italy",0.0
"Mountain Home, United States",0.0
"SeaTac, United States",0.0
